Serial NO,                  Game Name,                                Review,    Positive/Negative
110,King's Empire,"I would give it five stars if the support was better. I will say they are trying. Been playing since 2012. You can ghost the account and go back but be sure to ask for help. Not support help, ask other players. If you leave the game unprotected you will lose everything you built. It's a good game to play on the bus, train or on a break. You can leave it quickly and go back.. It's fun. Many say it's expensive. It's not. You don't have to buy anything. You can win gems for items",1
111,Shadowverse CCG,Amazing game. The rules are really simple and easy to go along with and the animations are top notch. If I was to criticise one thing it would be the lack of trading. The major problem with trading in this game could be the massive farming everyone would obviously take advantage of. I think if you were to set it up so that cards of value can only be traded with other cards of the same value. Like legendaries can only be traded with another legendary that could fix that problem.,1
112,Shadowverse CCG,"I have played a couple of TCG's before Shadowverse but this one is just way better. Lovely Artworks, simple Controls, nice mechanics. Furthermore you don't have to sell your soul in order to obtain new cards or ingame money. There are plenty possibilities to earn money. Playing the story, absolving quests, playing against bots, doing challenges (Take Two) participate on events (Cups). Beside that you get other free stuff just by playing aswell like Cardbacks. 10/10 would recommend.",1
113,Shadowverse CCG,As a returning player who has been playing this game consecutively for 2 months im happy to say that im happy that this game was worth jumping back into. the rerolling option is awsome if your unhappy with your pulls and also FREE 50 PACKS yes thats right that is something you never see in a tcg mobile game and free rerolls to hopefully craft your first deck. Overall a fun casual game with amazing art and would recommend anyone who is eyeing this game to jump in.,1
114,Alice in the Mirrors of Albion,"Edit Update: Now every building's games are on a timer. I'm looking for a new game.... Edit: I have changed my review to one star. If i could, I would probably switch it to less than one star. With this new update, I can no longer watch videos to either make the clown laugh or to earn points to play with. I was already frustrated with the amount of time it took to refresh levels. This had become my favorite game. Not anymore.",0
115,Alice in the Mirrors of Albion,"So Frustrated. I can no longer watch videos to gain additional hits on enemies on patrol, gain energy, spin the wheel, or attack the bosses. I used to play every day, but now I'm just frustrated constantly because I can't do anything or gain any bonuses. The graphics are wonderful and the game is challenging which is why i enjoyed it so much. But now I'm more irritated than anything else",0
116,Alice in the Mirrors of Albion,Initially this was a super fun game. However now you can no longer watch ad videos to deal damage or get bonuses. I'm not adverse to buying a few things here and there to support the game but in order to play you'd have to spend a fortune. Graphics and gameplay are beautiful but the time it takes to get more energy and the fact that I was unable to move past a level for over a week because I couldn't watch a video to deal damage and had to rely of gifts from friends is very frustrating.,0
117,My Talking Angela,I have an amazon fire tablet and the game would crash for no reason,0
118,My Talking Angela,it drives me crazy trying to click the x on the ads that pop up every 5 seconds. i don't have this problem with any other app but i know i click directly on the x and it still sends me to the app store almost 10 times before it finally registers that ive been trying to exit the ad. this game is meant for children and even as an adult playing this i have this problem. imagine all the purchases a kid might make on accident.,1
119,My Talking Angela,well for my experience in my talking angela i liked the cool games that you can play on the game.it was well prepared and presented. When beginners play it like little kids it would suit them more often. Well absuletly older children can play it as well but I prefer the younger children should be able to play a proper kids game to make them have enery and to have fun with their friends and being able to listen to the intrusions and to enjoy their young childhoods,1
120,My Talking Angela,"when you spin wheel all you ever get is small , Mostly one diamond.OMG!!! spin wheel one diamond one food ; ONE Everything . At Least Once a month it would Be Nice to get More of something!!! now I'm in a middle of a game & screen goes black I have to start back up plus lose my coins from game. I REALLY ENJOY the game;I Love talking Angela ; I Really HOPE it gets fixed. Thank You",1
121,Township,Love playing but for some reason I have had township cash disappear several times. I also reinstalled the game as I was unable to visit some my friends because the have a more current version??? I don't know where else there would be one. Hooray found it a few days after this post. 3/22/19 New makevoer is nice. Easier to distinguish buildings etc.,1
122,Township,"The images are colourful,engaging & creative.It gets you involved in selling, buying, producing, and decision-making in exciting ways. It gives you the opportunity to extend your wildest artistic imagination and allows changes at your pleasure. Many opportunities to access merchandise are at your finger-tips. A variety of game interactions and rewards make it hard to stop. You're rewarded with coins, town cash, jewels etc. for everything you do.",1
123,Township,"Thanks to developers, I'd sent a problem ticket, they took care of it very quickly. I love this game, it was my son's favourite. Was changing devices and didn't want to lose all my program. So thanks very much for update. The only bit remaining, is to prevent the list of friends requiring help, not to reset to Ernie but stay on last visited. Cheers!",1
124,Township,"only for who willing to spend bucks for anything. kept on asking for money for almost anything!!! should let players enjoy the game. u will never able to play a satisfying game at all as it is building a town, obviously will take u very long to see outcomes but while that u will get a mind torture to find money where you need to pay via google acc. makes you feel very bad. this game is a gold digger",0
125,Cooking Fever,"This app is alright but the money asked for upgrades is too much. I can't even buy a restaurant. I had a restaurant already and I can't upgrade it. So the customers who come are really disappointed. Now I am in the list of ""disappointed persons"". If you don't check this out, I will simply uninstall this app. Now I have a new restarted version.",0
126,Cooking Fever,"Really fun and addicting game. I love all the upgrades you can get and the prices for everything are fair. I recently got 5000 coins for downloading nordcurrent's other app and that helped me boost my restaurant a lot. My only complaint is that, I had 12 diamonds when this thing popped up for the machine that cooks the burgers and sausages. I've had it before and it was very helpful, so I decided to unlock it for 10 diamonds. It took my diamonds away but I dont have the machine.",1
127,Cooking Fever,robbery!!!! I have spent so much money on this game I got a new phone so I login in to my Google account as I was told and the coins I JUST purchased and level I just completed was not even on the game. I contacted customers service and was told to login the same account. like I didn't do that to begin with. A WASTE OF TIME AND MONEY!!!!!!!!,0
128,Bike Racing 2018,the worst game it hangs so much and if we want anything we have to pay for it nothing is free quality is not good at all pls if you don't know how to make games then pls don't make them and also don't bother or irritate us its a request and improve your games if you want people to download your games,0
129,Bike Racing 2018,very very very very very wrost game this is. very bad controller. don't download this game. please please please don't download this game wrost game to play. I am in the first position but it took up me to you were knocked out .,0
130,Bike Racing 2018,Too many adds I just want to play the game not have to keep restarting game cause adds keep popping up,0
131,Racing Fever:Moto,magnificent game. great dynamics and easy to use. graphics are decent as well as progress. thanks for making an awesome game,1
132,Racing Fever:Moto,"The game is good. The controls are easy and precise, the opponents are fair abd graphics are good. The only downside is the price of the bikes. Although you can put the money together by watching the ads, I think some bikes are too expensive (plus the H2R is not the fatest bike.",1
133,Racing Fever:Moto,"Worst game ever. There were no new routes. However, the bikes were cool, the customisation was good but still new routes should be there.",0
134,Dr. Driving 2,"This is a amazing app! It has improved alot since their last game Dr. Driving 1. In the first Dr. Driving it didnt let me change the cars, but in this one, it has many different options! It also has better graphics, their first game had more of a blocky graphic type of thing. This also has a more smooth type of graphics. They had added new tracks which im very happy about! They added more things such as challenges, levels, prizes and upgrades! The Controls are the same. I definitely recommend!",1
135,Dr. Driving 2,"really good game with a lot of different things to do. It also has a limit over how much u play it, so that we dont get too addicted to it like other games. I feel I'm getting the confidence to drive now. I wish we could get more petrol to play a bit more though. Otherwise I don't think I can think of anything else to improve the game. It is already good.",1
136,Dr. Driving 2,It is funfastic. I like it and rating it with five stars. Cars and graphics are supreme. I am feeling dificulty to finish the Slolam Test stage of chapter 3. But I am confident for success. I suggest the developers to make it permanent fuel and update the Tilt mode of steering. Thank you ,1
137,Badminton League,"This game is the best badminton game ever played. Please add more equips, things for costomizing my player, and please make it into 10 scores for 1set so that it will be more challenging. I will only give 5 stars if this improvement is seen in the next update",1
138,Badminton League,"Excellent Game !!! Can have more fun playing , Rules , Shots everything is realistic , To improve : 1. Add friends should be like 8Ball Pool, to add them Unique id etc, Not by wifi or Bluetooth . 2. Should vfx and etc , Please work on that !! amazing gaming app. keep it up !",1
139,Badminton League,This is the best game I have ever played . The only problem is that it is too addictive . I downloaded it in my exams and I played it all the time due to which I got less marks . But anyways it is the BEST GAME I have ever played.,1
140,Teen Patti Gold,"lot of different type of level in here control is very easy to use in this game is like everything in this game game play is very very important in all game and it's have have many things the same as the only one I have been in the next 888bull. 888bullet, but I am a member of the year. . . . . tei bhiyaraa hoo, I am a member. I have to be the best of all ages. the otiiher side, but it would like the look at",1
141,Teen Patti Gold,I love this game and playing this since 3+ years but please moonfrog games help me I don't know what's happening with my game I had 34 crores and I sleep and when I woke up my all money was gone and I don't even know how that happen then j deleted the game from my phone but then I download it again and I play and play I made 10crore and after few hours all the money has been gone again! please help.,1
142,Teen Patti Gold,"This game has many weaknesses.Game is very chatting.This cheating person will have to close it in.Then this game will be correct.No. 1 green chips should be kept in Hyde.Because one bamboo plays cheating on two mobile phones.Blind plays the third gesture on both of your mobile phones.no.2...The way in the tournament table When the chips are finished all in one Similarly, every single table should have this option This way the cheating will stop",0
143,Star Wars,"Over the past 5 years EA has systematically destroyed something I loved. This game in NOT free to play. It revolves solely around purchasing content to be remotely competitive. The time investment required for any sense of achievement is so rediculously unbalanced it isn't remotely enjoyable. So if you have a social life, relationships and money, don't install this game. You probably won't have them if the invest in this EA money grab ""game""... If I could ask for my time and money back, I would.",0
144,Star Wars,"Rat Race! This used to be the best game I had. all the characters and teams used to be balanced, which is what made it fun. Now they release new characters constantly and each group is more powerful than the last. of course you can farm these new characters, but it takes a while or you can spend real money and be competitive. another great game ruined by greed. i wouldn't bother starting to play it now, you already missed the good old days! ***And now, can't log in!",0
145,Star Wars,"Fun, challenging, and rewarding! With staple rpg mechanics, and great characters we all know and love, hard to let this go with any less than five stars. The only flaw, and honestly not necessarily a flaw, are the graphics. A bit outdated in textures, and overall graphical quality. However It is more than made up for with quality gameplay, and satisfying rewards.",1
146,Homescapes,Have yet to do the type of puzzles shown in the trailer. Really fun to design the home and follow the story. Games are difficult but persist. You will get better and the game seems to adjust to help you move along after a while. I wouldn't mind if things moved along a little faster and there were more choices in decorations and colors.,1
147,Homescapes,"Great start to the game - fun puzzles and a good storyline. HOWEVER, the 5 lives and taking 20 minutes to recover one is a joke. People wont pay the high prices, but if you let them watch adverts they'll play for longer and you'll make more money. Game has great potential, but stop trying to money grab - it has the opposite effect. Let the money come to you witu a great game.",0
148,Homescapes,"Really like this game. Unfortunately, certain levels are designed so that you either need a huge stroke of luck or need to purchase additional coins. I have no issue buying extra coins here and there. I understand the creators have to pay employees somehow",0
149,Real Bike Racing,This is the worst bike racing game in the universe. you have made a meal of bike racing. Utter poop. I know dog poop is better than this game. It has thousands of glitches and navigating the bike is a big problem. hate this game. let it die in hell ,0
150,Real Bike Racing,The idea of the game seems pretty good. Graphics and controls were a problem for me though so a change for the better in that would be pretty great for the game. I think the length of the races should also increase and more interesting stuff added. Overall though the game has a lot of potential!,0
151,Real Bike Racing,Its a good game but why the time limmit so less? Not enough time to pass the checking point. I'm not sure that my friends (people that playing this game) enough time or not but i just want to say please give extra time to pass the checking point. Tq so much. I just want to say these all.,1
152,World Soccer League,The gameplay is alright. The only problems are the lack of controls. Please add a separate sprint button. It's hard to maneuver the ball when constantly sprinting using the directional pad. Also please fix the delay,0
153,World Soccer League,"This game is by far the best android soccer game, why? Because it doesn't need internet connection, best graphic, simple to play and don't have to buy at all. I've downloaded countless soccer game, while other games try to extort money for some stupid creation, it promotes entertainment and usefulness of android mobile",1
154,World Soccer League,"I like that game. The graphics are awsome. You even get to choose your own level of difficulty. All the teams except yours their defence,attack, midfield and protection of the ball is poor.",1
155,Bubble Shooter,I enjoy this game but I don't want to play the same level weeks before I can finally beat it. why does it have to be so uninteresting anymore. it becomes very frustrating when you cannot beat a level. I like the challenge but even with getting three extra balls and then getting to watch a video you can't win this level. It's boring me to death now,0
156,Bubble Shooter," had over 900 coins they just disappeared, i didn't change the phone or even uninstall the app, and every once in a while it steals my coins again without any reason, I'm saving them for the harder level and it simply stole them, it sucks! Issue solved very quickly, great service ",0
157,Bubble Shooter,Even though I have shoot all the bubbles then also it is asking me to replay level 6. I have consumed the coins more than 3 times but still no improvement. Getting pathetic response. Also the adds shown contain offensive content sometimes. Please note this is played by kids and the ads should be appropriate.,0
158,Basketball Stars,"The game started off great but after a week it has gone downhill! My shots are ""blocked"" when the ball is at the net and I cannot redeem any free gifts. It lets me open 1 at best then tells me no videos available. I had no issues until I paid for the app. I have emailed asking for a refund. If the issue gets resolved I'll match it to the review.",1
159,Basketball Stars,It is very Interesting game.Its attacker defender mode is too interesting.It is unique than other basketball games.I like playing basketball and I am a national level basketball player. I often goes to play basketball in different areas. The graphics of this game are also very good. I also want to give them all five stars. At last I want to say that I like this game a lot and I want you to please play this game only once because I think you should also like this game. Thank you.,1
160,Basketball Stars,redownloaded after months of not playing. shooting system for all modes has gotten better and less laggier. another thing that changed and is bugging me is the uselessness of cash... I used to be able to win cash and use it to buy items like tops bottoms and balls... now I have a useless worthless amount of cash because I'm not even able to redeem it for anything. what is the point of winning cash ?,0
161,FIFA Soccer,"The graphics and the control seems ok to me. But it is rather laggy. I suggest you guys optimize this game so it wouldn't be that laggy. Especially for 1GB RAM devices please optimize it for low-end devices. Cause in my opinion, others will not complain about the graphics or the control if you fix the lagging issues. Overall it is a great game, I recommend it.",1
162,FIFA Soccer,"Include top scorers rank such that a player is awarded a golden boot at the end of each season or/and tournament. otherwise this game made it hard for me to play other games on my phone. If I'm not on browsing the Internet, I'm playing this game. fix the bug of the ball disappearing from the field only to find a short from no where.           0",1
163,FIFA Soccer,"This game is terrible. I don't know what's worse, the graphics or the players themselves. There's no vibe about it, is boring. Dream League is better than this, and I tell you that game is also not great but I'd rather play it than this. Horrible, really horrible. ",0
164,Zombie Catchers,"The update had removed some of my progress. I had 100+ zombies saved, including bosses, and I when I loaded up the game, I only had 6 zombies between 2 types. As disheartening as that is, they also reduced the in game earning potential, heavily merging a lot of profit from specific products, slowing down an already slow game. I can't bring myself to play anymore because of this, it's just too disappointing.",0
165,Zombie Catchers,Very fun and enjoyable. a great game that you get to build your own store. I would rate it higher if you could actually contact them. no consumer support or help. like it glitches really hard at times where it won't let you move your guy. in turns it made me lose a handful of times and making me wonder if I should delete.... good game but could be better,0
166,Zombie Catchers,"Really love this game. Just have one real issue. The spear point sometimes catches on the edges of the buildings in the china town episode which caused me to not be able to chase the boss. It also catches in the drop down areas on the beach scenes and snow scenes and gets stuck. It doesnt clear until the scene chase is over which is a waste of time and loss of weapons. Do you have a fix for this? Is annoying. Also , how long before new episodes?",1
167,Real Football,"This game is by far the best android soccer game, why? Because it doesn't need internet connection, best graphic, simple to play and don't have to buy at all. I've downloaded countless soccer game, while other games try to extort money for some stupid creation, it promotes entertainment and usefulness of android mobile",1
168,Real Football,The gameplay is alright. The only problems are the lack of controls. Please add a separate sprint button. It's hard to maneuver the ball when constantly sprinting using the directional pad. Also please fix the delay.,0
169,Real Football,"I like that game. The graphics are awsome. You even get to choose your own level of difficulty. All the teams except yours their defence,attack, midfield and protection of the ball is poor.",1
170,Airplane Simulator 2018,"Most unrealistic graphics, terrible control, on screen looks like a cartoon film. Radar moves as you try to follow the landing strip. This only on your free trial fight . Very expensice to buy planes",0
171,Airplane Simulator 2018,"This game is easy after the first level. I'm sick of flying propellor planes, so this game is perfect for me! You get to fly planes all around Europe!",1
172,Airplane Simulator 2018,I love this game very much for the first time I was just wondering if you want to be a good day at work ,1
173,Jigsaw Puzzle,Often times a piece that's in the correct place won't register in the system and you have to play around with it in order for it to finally fit. The puzzles aren't really that challenging and even in the hardest mode possible the puzzles are quite easy. Ads are all over the place and the way the game is set up in general is quite awkward. I don't recommend.,0
174,Jigsaw Puzzle,so much of adds while playing game .which makes it disgusting to play .really disappointed by the adds while playing. so uninstalling it .,0
175,Jigsaw Puzzle,very boring.Dont irritate people with all this ads.You deserve only these many stars.I would like to give u no stars if that was possible.,0
176,Pokemon Go,"I'm having so much fun! I try to be an active person, but I frequently make excuses to 'take a shortcut' or 'take a walk later'. Since downloading PKMNGO, I've had a great time walking my dog and getting exercise with friends and family. Of course my mom thinks I'm crazy for catching digital animals, but it's clear that my legs look x20 better than hers because I walk so much",1
177,Pokemon Go,"Do YOU want to be a Pokémon master? Of course you do. Find a reason to go hang out with your friends again to collect items from Pokéstops and battle in raids. Hatch some eggs walking your dog, or your neighbor's dog, or the local shelter's dogs. Just go find a dog. Trust me, you'll look less crazy and you get to spend time with an adorable pooch. Build the best battle teams! Discover shiny Pokémon! This app will make you actually want to leave your house for once.",1
178,Pokemon Go,"Great game. Its a shame I live in a quiet town and I have no friends that play, as I cannot participate in 4 or 5 star raids with any chance of winning. Also, if you're signed in with Pokémon Trainer Club, link your Google account in the settings and sign in that way, as the PTC would annoyingly sign me out a couple of times an hour, even during gameplay for jo apparent reason",1
179,Air Attack,With you in person in this forum rules the following document for a few days and the same thing in order is a good time and money from our conversation yesterday that a problem or just email you know to your address mail or more is no matter of you could get that there anything on Friday I will need from her I can't use that he told myself out if not please confirm be very little less money so long weekend at it for some new member here at if he says a private server practice tomorrow for as he wants and se hai is ki ki is for us out with all in and will give any idea if anyone needs replacing improvement ke of all in any suggestions about their best respective respective respective to this your use of any way and it can goes goes away or more you need a could send an interview order on Saturday their respective is for that we do so if you're welcome hai ki a big and I'm doing great thanks regards from Google Inc hai I know the outcome cost per night before or email you know it's an opportunity the last name a DVR ko the end quote you can I have an old age group meeting is not an option under to go there I can't do remember to correctly I had in touch as per your mail in an interview will you will enjoy to this forum member,1
180,Air Attack,"I am glad the developers of this game are still alive, this is my good ol' childhood game. And I still enjoy this!",1
181,Air Attack,Very good game of the day and the weather is good to see you again soon to see if they can get it to you on the way to the other side of the world......!!!!!,1
182,Angry birds rio,"I love this game. There are a lot of ads, but it's a free game. I do wish that the sling scope offer would be for longer, maybe for 10 minutes instead of 5.",1
183,Angry birds rio,"i downloaded this game because i remember when it was released ...i also remember far fewer damn adverts! it doesnt matter how much fun i had back in the day, no, the only thing that matters is filling your pockets at the exspense of others... just like every other damn publisher! buh-bye!",0
184,KBC Bangladesh,"It is an educational game.I Think,By playing it, people learn many thing anout his country.Finally I told that it is a nice game.",1
185,KBC Bangladesh,"Awesome.I think everybody should download it.When a answer is correct there is clapsound,which I love the most?? One more thing I have complete all the levels in this,fantastic.",1
186,KBC Bangladesh,This app is very bad.dont install it. It says that there are no real money.there are everything are un real .so please don't download it.,0
187,Word search,fun game to pass the time way!Helps with one's spelling of words hey we all can use that a little right? So re-Lax have fun at it don't just pass the time by looking at magazine that you know deep down you can't afford that sshit you are you kidding so stop and have some fun with this free game! you'll like it! I Do!,1
188,Word search,its good for those who are depressed or in tention. they can play it and improve their mood. becoz in this the finding of many words in very short puzzled words....i think its an interesting game...if we see its mb(MB) then its perfect,1
189,Word search,"This game is completely worthless now. you are forced to watch ""game commericals"" for 20 to 30 seconds and the screen is locked so you have to watch it. i'd rank this a zero stars, but you can't create a review. DON'T INSTALL this APP! You will be wasting your time in ""commerical"" land. This app no longer is fun, the author SOLD out to the AD income. BYE-BYE!",0
190,Block puzzel,"My sister turned me on to this game. I have really enjoyed this game. On my phone I have reached 65,700. Im addicted to this game. Now all of a sudden the game has changed.I've been playng this for 2days. I can't seem to even reach 20,000. I will be going along just fine with many spaces to fill and it will pop up with 3 symbols that can't be used and knock me out. It does it everytime. It's like it fixed so you can't win. ? Why, there is no financial benefit. I'm going to drop out if it can't be",1
191,Block puzzel,"Game was doing OK, heading for 5 stars, when it showed a seriously inappropriate ad. Bad enough if I had been playing, but I wasn't. My 5YO granddaughter was playing when an ad, basically for mature prostitutes, came up. Lucky she was sat next to me, I grabbed the phone and she didn't realise what had come up on screen. So, if your thing is mature slappers who apparentlyime a lay and always say yes, this is the game to get that ad. Or Google. No doubt its quicker.",0
192,Block puzzel,"This Classic Block Puzzle is VERY good, but the people behind this game need to be more knowledgeable about which promotional apps, etc. will potentially harm one's Smart Phone with viruses. Why should the Block Puzzle recipient be wary of such harmful products? Everyone, be wary of apps that tell you they are able to clean/protect your phone.",1
193,Tetra classic,"I really like this app! I've been looking for a new Tetris app since the last one I used disappeared from the store and this one is almost perfect. My only problem with it is the touch controls, as I tend to mess up more as I go up the levels and can't be as precise with my moves. If possible I'd like to suggest adding an option for on screen button controls maybe? Otherwise, excellent app keep up the great work!",1
194,Tetra classic,"The best tetromino-stacking app I've encountered, and lightweight as Tetris should be. My one complaint is that it doesn't seem to have the unique piece order generator that Tetris should have: in actual Tetris, a randomly-ordered set of all seven pieces is generated and given to the player, then this is repeated, meaning no piece will go unseen for more than 12 pieces.",1
195,Tetra classic,"pretty good touchscreen controlled tetris clone. my biggest problem with it is that there doesnt seem to be a score, just a line count, so getting a Tetris is pointless, eliminating a large risk/reward element of the game. another minor problem is the way the falling blocks stop too quickly after hitting the block below it, in other tetris games you get a split-second to move the block before it 'sticks'. this gets frustrating when the blocks are near the top of the screen",0
196,Pop cat,"It's a very nice game and the graphics are great with the cute cats. But it gets quite hard after a while and it's not that easy to get coins for boosters for free.. I wish better options were available without money, I would be able to play the game for longer.",1
197,Pop cat,"The game was fine at first. But then they hit me with the ""game progress"" or what have you. And they don't let me opt out of that. Not only that, they force me to pay for it?!? I don't even want to look at it! So, why should I have to use 24 coins to look at it! That is the major reason I am uninstalling this game and sticking with the other one. At least THEY don't cram stuff down my throat.",0
198,Ocean block puzzel,I can't stand the constant pro-Trump ads. I am deleting this app tonight. It's too bad because otherwise the game is good.,0
199,Ocean block puzzel,I play this game more than anything else I don't get stuff done because I love playing this game. THIS GAME MAKES ME HAPPY,1
200,Candy fever,"This is a good game but There is only one big problem of this game, The ads are so troubling, In between playing game, Ads occur, and that is disappointing so please please remove these silly and stupid ads from this game. It makes me angry",0
201,Sweet candy bomb,sweet awesome game love it play it all the time if I could awesome cool you put sweet games on here to play it keeps your mine off a lot thing when all day you do is thing off your missing sister so I play this games so I will not cry for my sister I miss her so dad her name ever is rose rapp I wish you hade a rose game so I can play the rose,1
202,Fruit brust,the game is fun i've finished it twice already an downloaded it again and i actually like the upgrade my only problem is that it has to end it should be a game that keeps on going and gets harder an more challenging but for me its the best game on play store this is my 3rd time playing it from the start,1
203,Aces spades,"The game functions well. The various players are not all equal. Some are good, others are ok and a couple really suck - at tge hardest setting. I'd like for the players to be better. Bidding 2 when you have the ace, king & queen of spades does not instill confidence in the software.. But i do like the game.. Cheers!",1
204,Aces spades,"Not working properly, not easy to understanding , not a good game.I was notified by Lookout that this game now has riskware - TapCore SDK which could result in unexpected charges. Stop playing with these updates. Make the game safe.",0
205,29 card games,Very good job. This app is really awesome but very slow. need to make more faster in next version. another more things when already done double redouble then anybody can't play single hand. but in this app can play single hand after called double and redouble. it's totally wrong. I hope next version will be more faster and solve some wrong. thank you very much for make this app.,1
206,29 card games,the online playing version is too poor. there is no option to add a player to friend list if u like him .. player can leave anytime because he / she would have nothing to loose. i think the app builders haven't developed this game since they have built it.. if ludo star can have so much user friendly environment why won't this app have.. looking forward to a update which would resolve this issues .and best of luck guys u did a great job.. and i wish the new update would let me to edit my reviw,0
207,Fruits  bomb,Finally a game that charges nothing! I love the challenging puzzles and different levels that they have here! I'm currently on 217. I will see you there!,1
208,Fruits bomb,"too frustrating and too much advertising, way too much it's really annoying. I can see having some but not like this and there is no way of getting ahead if you can't finish the one you're playing. much too frustrating. not even one star. None",0
209,Bloom swap,"I'm enjoying working up the levels. Adds are a pain, but what can you do? It's still fun. I've just completed 900 levels. If there were more, I'd still be playing, so I started over. Challenging, calming,and relaxing. Thanks.",1
210,Fruit candy bomb,"It’s a very lovely way of playing this game, it a nice game, ",1
211,Fruit candy bomb,It would be better if you would put them ads into good use to give boosters to watch instead of us having no control over them interrupting our game play not a good app like getting stuff while playing as well,0
212,Fruit legend 2,"A vary nice game I am  interested in very steps to play, I like to play this game",1
213,Fruit legend 2,"Don't waste your time to play this game,  this is not a good game",0
214,Fruits Cut,Very good game and we will work better. I like this game and it’s a very nice game,1
215,Fruits Cut,"the game cheats , I finished it by the game seems failed, which is very bad",0
216,Fruit master,great game. For the most part I don't experience a lot of lag. It is a nice game,1
217,Fruit master,I really hate this game. Boring game.I play this for many time bt  don't see any change,0
218,Candy smash,"I love this so much, perfect and good thinking ,This help me release stress and forgot all my problemse it's so wow. It is a superb game. I like this game very much",1
219,Candy smash,"Irritating and forced Ads I enjoy this game but I am Uninstalling because you have no respect for us. When I open the game, there is an ad and you are forced to watch it or exit, after each level, even if you fail the level you MUST watch an ad. The worse part is you can not cancel these ads and you don't even get anything for watching them.",0
220,Berry swap,Just started playing the game a few days ago. Heard that you don't get very far before you have to start spending money. I need to play it a little longer to see if I really like it.,1
221,Candy Ville,Its okay but theres no login bonus or challenges to do for boosters like other match 3 games have thats the key to have when your stuck plus it gets boring without something to look forward to when playing,0
222,Candy Frenzy,try and try again...and again and you will make it is I have learned in this game. this is afrer one month of trial that I finished 5-47 at last,1
223,Candy Frenzy,this is the best game ever so grateful to you all brother and sister. the good news is good that will game so i request to all you keep playing the game i geve them 5 star,1
224,Card game 29,AI of this game is of noob level... it's for beginners... and you're partner is the dumbest... all card games on playstore are so dumb... when partner can skip weak cards on pointless cards bot uses colour and next card bot uses that weak card. sometimes it doesn't give you point card holds it up-to last and giving it to opponents... when you have a Jack of certain colour and opponents are using decks card on that particular colour partner will use the same colour making you loose your jack.,0
225,Spades,"Algorithm decides way to many games. Game awards or deducts points for 2nd, 3rd and 4th, so instead of playing to win, many players give points to high hand so they can come in 2nd or 3rd, thus scoring better. I played well enough to get a 100 rating, then came in last 13 games in a row, lowering my rating back down to 61. Your rating has nothing to do with how well you play or your skill level, it's decided by the aforementioned algorithm and the players playing for third.",0
226,Hearts,"there is a forum on this app that allows people to share their thoughts and talk to each other 90% of the people on that forum are rude. very bad for children. they are unamerican anti-christian and attack Family Values a lot of racist remarks against the homosexuals and blacks and even some Spanish people . players are allowed to name themselves some name themselves KKK but they're allowed to play and are never banned if there's any attorneys out there let me know I have screenshots,racist ones!",0
227,Sueca,the A.I on this game is completly flawed. Plays hands that make no sense.. For example: Plays a 7 when the previous player played an ace and still has the same card type on his hand,0
228,Hearts card Classic,"It's okay, but it's too easy to run them.*(Update) *They've done some improvements and this game plays tougher now, not as easy to run them. I raised my rating to 4 to have room to improve.(2nd Update) This game is no longer a gimme, it is much tougher now. Play on the Pro level and it's more fun and frustrating at the same time. I have raised my rating to 5",1
229,Hearts card Classic,"This is a good game, and enjoyable to play. Unfortunately the advertisements are particularly intrusive and anoying, I would happily pay a fee to remove the adverts if I could find an option to do so. I understand that the makers of this game need to earn from it, but I will probably end up uninstalling it because the adverts are pissing me off.",0
230,Euchre,"Great visuals and gameplay but no other way to put it, it cheats. Too many times the computer plays odd cards and the only reason that would happen is if it knew everyone elses cards. Also the computer gets at least 2-3 jacks a game to call up, every game. Not to mention at least once a game your partner calls up a hand that it had no business calling for. Wish i wouldn't have wasted my money.",0
231,Canasta,"I still play this game despite the fact that the computer partner is programmed to do one thing, and that is to go out. No. Matter. What. So it can be frustrating when your partner throws away cards you are building a canasta for and frequently give away a frozen deck. Cursed thing! When I play, I view it as playing against three others and it is nice when your partner is actually helpful.",1
232,Seep,very bad mister who ever it may be. how could you allow computer to play on your behalf. it already knows all player cards. when player is not able to decide about cards put penalty. but not allow Computer to play on players behalf. very very poor maintained app doesn't know how integrate. please please do not waste your time and your data.,0
233,CSR Racing 2,"I love car games and this one is very addicting. It allows you to do everything you can possibly imagine when dealing with automobiles. You can upgrade your vehicle to the best of your ability and once you have your vehicle upgraded to your liking, hit the road and make some money racing other crews. You can even win and purchase automobiles. Like i said, very addicting. There's no car game quite like it! Hey, what more can I add to this, I think I've said it all in my very first rating.",1
234,CSR Racing 2,"The game crashes constantly, I've lost thousands of dollars and gas because, its auto lose. Can't customize cars at all other than really tacky paint schemes. Pricing for things are ridiculous. The loading between races and garage etc makes me want to jump off a bridge.",0
235,Iron Blade,"beautiful, addicting gets deeper than most hack and slash games: there's a very good story here. and, blessedly, easy to play without paying really. I do sometimes, I want to support the games , but its not maddening or prohibitive. Edit: I've taken a star back for lagginess at some points that always causes battles to go favor of enemy. Your fighter will eventually catch up, finishing your input, but then you've made maneuvers according to the lagging visuals.",1
236,Iron Blade,lag crashes always freeze devs only want your money dont waste your time avoid this game,0
237,Super Bino Go ,"Terrible game, way too many ads. Developer obviously does not care. All responses are the same from the developer. Avoid uninstalled after 5 minutes.",0
238,Super Bino Go ,It is an excellent game. My mind concentration become very good. You must download the game. I love it ! It is better than clash of clans and many more other popular games !,1
